id,true_label
1,0
2,0
3,0
4,1
5,1
6,1
7,2
8,2
9,2
10,3
11,3
12,3
13,4
14,4
15,4
16,5
17,5
18,5
19,6
20,6
21,6
22,7
23,7
24,7
25,8
26,8
27,8
28,9
29,9
30,9
31,0
32,0
33,0
34,1
35,1
36,1
37,2
38,2
39,2
40,3
41,3
42,3
43,4
44,4
45,4
46,5
47,5
48,5
49,6
50,6
51,6
52,7
53,7
54,7
55,8
56,8
57,8
58,9
59,9
60,9
61,0
62,0
63,0
64,1
65,1
66,1
67,2
68,2
69,2
70,3
71,3
72,3
73,4
74,4
75,4
76,5
77,5
78,5
79,6
80,6
81,6
82,7
83,7
84,7
85,8
86,8
87,8
88,9
89,9
90,9
91,0
92,0
93,0
94,1
95,1
96,1
97,2
98,2
99,2
100,3
101,3
102,3
103,4
104,4
105,4
106,5
107,5
108,5
109,6
110,6
111,6
112,7
113,7
114,7
115,8
116,8
117,8
118,9
119,9
120,9
121,0
122,0
123,0
124,1
125,1
126,1
127,2
128,2
129,2
130,3
131,3
132,3
133,4
134,4
135,4
136,5
137,5
138,5
139,6
140,6
141,6
142,7
143,7
144,7
145,8
146,8
147,8
148,9
149,9
150,9
151,0
152,0
153,0
154,1
155,1
156,1
157,2
158,2
159,2
160,3
161,3
162,3
163,4
164,4
165,4
166,5
167,5
168,5
169,6
170,6
171,6
172,7
173,7
174,7
175,8
176,8
177,8
178,9
179,9
180,9
181,0
182,0
183,0
184,1
185,1
186,1
187,2
188,2
189,2
190,3
191,3
192,3
193,4
194,4
195,4
196,5
197,5
198,5
199,6
200,6
201,6
202,7
203,7
204,7
205,8
206,8
207,8
208,9
209,9
210,9
211,0
212,0
213,0
214,1
215,1
216,1
217,2
218,2
219,2
220,3
221,3
222,3
223,4
224,4
225,4
226,5
227,5
228,5
229,6
230,6
231,6
232,7
233,7
234,7
235,8
236,8
237,8
238,9
239,9
240,9
241,0
242,0
243,0
244,1
245,1
246,1
247,2
248,2
249,2
250,3
251,3
252,3
253,4
254,4
255,4
256,5
257,5
258,5
259,6
260,6
261,6
262,7
263,7
264,7
265,8
266,8
267,8
268,9
269,9
270,9
271,0
272,0
273,0
274,1
275,1
276,1
277,2
278,2
279,2
280,3
